iter	Passed	Remaining
0	38	38658
1	78	39093
2	117	39077
3	155	38798
4	200	39960
5	265	44019
6	307	43594
7	346	42919
8	386	42603
9	429	42537
10	470	42328
11	511	42134
12	554	42091
13	597	42097
14	638	41946
15	681	41916
16	718	41526
17	750	40947
18	796	41114
19	839	41150
20	884	41244
21	920	40901
22	962	40877
23	1007	40952
24	1052	41040
25	1096	41061
26	1141	41141
27	1184	41122
28	1226	41067
29	1267	40995
30	1340	41898
31	1377	41666
32	1413	41429
33	1449	41172
34	1485	40965
35	1532	41037
36	1577	41062
37	1616	40918
38	1651	40687
39	1684	40426
40	1724	40344
41	1762	40204
42	1801	40092
43	1838	39946
44	1875	39800
45	1911	39634
46	1946	39478
47	1981	39293
48	2018	39174
49	2052	39001
50	2087	38842
51	2120	38663
52	2156	38532
53	2192	38405
54	2227	38266
55	2266	38209
56	2303	38110
57	2348	38139
58	2404	38346
59	2441	38243
60	2478	38153
61	2517	38083
62	2552	37962
63	2586	37832
64	2619	37684
65	2652	37541
66	2689	37454
67	2726	37363
68	2763	37289
69	2801	37213
70	2835	37098
71	2868	36974
72	2902	36861
73	2937	36763
74	2973	36667
75	3008	36578
76	3045	36507
77	3080	36413
78	3114	36314
79	3148	36206
80	3183	36118
81	3217	36015
82	3252	35930
83	3290	35887
84	3326	35804
85	3362	35735
86	3397	35655
87	3454	35802
88	3509	35926
89	3548	35874
90	3586	35824
91	3623	35763
92	3658	35682
93	3693	35602
94	3730	35540
95	3771	35512
96	3805	35425
97	3841	35354
98	3877	35286
99	3912	35208
100	3948	35149
101	3986	35095
102	4028	35079
103	4067	35041
104	4106	34999
105	4144	34955
106	4181	34900
107	4218	34843
108	4259	34817
109	4298	34782
110	4337	34738
111	4376	34697
112	4413	34647
113	4451	34600
114	4497	34611
115	4567	34807
116	4608	34782
117	4643	34710
118	4681	34660
119	4722	34631
120	4766	34624
121	4808	34602
122	4846	34554
123	4883	34501
124	4921	34452
125	4962	34422
126	5002	34384
127	5044	34362
128	5082	34314
129	5121	34272
130	5159	34225
131	5198	34183
132	5239	34155
133	5281	34135
134	5321	34097
135	5359	34046
136	5396	33997
137	5438	33972
138	5476	33923
139	5516	33885
140	5560	33876
141	5621	33967
142	5665	33955
143	5706	33920
144	5744	33875
145	5785	33841
146	5825	33800
147	5861	33744
148	5901	33703
149	5941	33667
150	5983	33642
151	6026	33621
152	6069	33599
153	6112	33577
154	6149	33526
155	6193	33507
156	6250	33559
157	6308	33619
158	6352	33600
159	6392	33562
160	6445	33587
161	6502	33636
162	6551	33639
163	6599	33642
164	6654	33674
165	6731	33821
166	6780	33819
167	6825	33800
168	6873	33796
169	6923	33804
170	6990	33889
171	7064	34007
172	7115	34016
173	7152	33954
174	7192	33907
175	7230	33852
176	7271	33811
177	7312	33767
178	7350	33711
179	7390	33667
180	7430	33623
181	7466	33560
182	7508	33523
183	7549	33479
184	7587	33427
185	7625	33371
186	7664	33323
187	7708	33292
188	7774	33359
189	7821	33342
190	7859	33288
191	7895	33226
192	7931	33163
193	7971	33117
194	8014	33085
195	8055	33042
196	8094	32993
197	8134	32949
198	8170	32886
199	8208	32833
200	8246	32778
201	8288	32742
202	8322	32673
203	8359	32618
204	8393	32549
205	8428	32485
206	8464	32425
207	8505	32385
208	8544	32338
209	8582	32286
210	8628	32266
211	8671	32231
212	8714	32199
213	8749	32136
214	8796	32116
215	8853	32135
216	8900	32115
217	8940	32069
218	9021	32173
219	9122	32341
220	9164	32304
221	9199	32240
222	9247	32220
223	9283	32161
224	9321	32107
225	9354	32038
226	9401	32016
227	9437	31955
228	9472	31893
229	9515	31855
230	9551	31798
231	9589	31744
232	9625	31685
233	9661	31625
234	9701	31581
235	9738	31527
236	9774	31468
237	9806	31397
238	9843	31344
239	9893	31328
240	9956	31356
241	9997	31314
242	10034	31260
243	10070	31202
244	10106	31143
245	10139	31077
246	10174	31016
247	10210	30959
248	10243	30894
249	10279	30839
250	10314	30779
251	10352	30728
252	10395	30694
253	10442	30668
254	10481	30622
255	10523	30584
256	10562	30537
257	10599	30483
258	10636	30430
259	10675	30384
260	10714	30338
261	10753	30290
262	10785	30225
263	10823	30173
264	10880	30177
265	10915	30120
266	10965	30104
267	11044	30167
268	11082	30116
269	11118	30060
270	11155	30008
271	11189	29948
272	11225	29893
273	11266	29852
274	11315	29830
275	11349	29772
276	11389	29729
277	11423	29669
278	11458	29610
279	11496	29562
280	11533	29510
281	11568	29454
282	11605	29403
283	11643	29354
284	11677	29297
285	11718	29255
286	11757	29208
287	11796	29163
288	11833	29112
289	11868	29058
290	11909	29016
291	11945	28962
292	11982	28913
293	12033	28896
294	12094	28902
295	12137	28867
296	12173	28814
297	12211	28767
298	12251	28723
299	12288	28673
300	12324	28621
301	12359	28565
302	12397	28517
303	12431	28461
304	12472	28420
305	12509	28370
306	12549	28328
307	12584	28274
308	12618	28218
309	12656	28171
310	12700	28136
311	12739	28091
312	12778	28047
313	12820	28008
314	12864	27975
315	12907	27939
316	12946	27895
317	12991	27862
318	13035	27828
319	13073	27780
320	13131	27775
321	13189	27772
322	13231	27732
323	13267	27681
324	13307	27639
325	13346	27594
326	13387	27552
327	13426	27508
328	13463	27458
329	13508	27426
330	13545	27377
331	13579	27323
332	13614	27269
333	13648	27216
334	13686	27168
335	13723	27119
336	13768	27088
337	13809	27046
338	13844	26993
339	13882	26947
340	13920	26901
341	13955	26849
342	13996	26809
343	14031	26758
344	14065	26704
345	14101	26654
346	14135	26601
347	14179	26566
348	14239	26560
349	14286	26531
350	14321	26479
351	14358	26432
352	14392	26380
353	14428	26330
354	14462	26277
355	14504	26237
356	14539	26186
357	14574	26137
358	14609	26085
359	14644	26035
360	14681	25986
361	14720	25943
362	14759	25899
363	14794	25849
364	14827	25796
365	14862	25745
366	14897	25694
367	14933	25646
368	14970	25599
369	15010	25558
370	15045	25507
371	15092	25479
372	15136	25444
373	15173	25396
374	15208	25347
375	15261	25328
376	15325	25325
377	15366	25285
378	15403	25239
379	15441	25193
380	15485	25158
381	15525	25116
382	15564	25073
383	15607	25036
384	15645	24992
385	15683	24947
